#: table_doi: 10.17182/hepdata.137818.v1/t2
#: name: Table 2
#: description: $\frac{\mathrm{d}N}{\mathrm{d}\eta}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{p}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab2.yaml
#: keyword reactions: P PB --> CHARGED
#: keyword observables: DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP
#: keyword cmenergies: 5023
#: keyword phrases: Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: SQRT(S)/NUCLEON IN GEV,,,5023
#: TRIGGER,,,CENTV0A
#: CENTRALITY IN PCT,,,  0.00 TO   5.00
ETARAP,ETARAP LOW,ETARAP HIGH,DN/DETARAP,stat +,stat -,sys +,sys -
-4.375,-4.5,-4.25,11.83,0.01,-0.01,0.78,-0.8
-4.125,-4.25,-4.0,12.42,0.01,-0.01,0.82,-0.84
-3.875,-4.0,-3.75,12.765,0.009,-0.009,0.839,-0.868
-3.625,-3.75,-3.5,13.44,0.02,-0.02,0.88,-0.91
-3.375,-3.5,-3.25,15.25,0.01,-0.01,0.95,-0.99
-3.125,-3.25,-3.0,15.523,0.005,-0.005,0.972,-1.009
-2.875,-3.0,-2.75,16.002,0.005,-0.005,1.002,-1.04
-2.625,-2.75,-2.5,16.454,0.004,-0.004,1.03,-1.069
-2.375,-2.5,-2.25,16.619,0.004,-0.004,1.041,-1.08
-2.145,-2.25,-2.04,16.873,0.004,-0.004,1.057,-1.096
-1.975,-2.04,-1.91,16.747,0.005,-0.005,0.556,-0.558
-1.8599999999999999,-1.91,-1.81,16.731,0.005,-0.005,0.551,-0.553
-1.755,-1.81,-1.7,16.757,0.005,-0.005,0.546,-0.548
-1.65,-1.7,-1.6,16.7,0.07,-0.07,0.62,-0.62
-1.55,-1.6,-1.5,16.77,0.05,-0.05,0.62,-0.62
-1.45,-1.5,-1.4,16.73,0.05,-0.05,0.61,-0.61
-1.35,-1.4,-1.3,16.77,0.04,-0.04,0.6,-0.6
-1.25,-1.3,-1.2,16.68,0.04,-0.04,0.59,-0.59
-1.15,-1.2,-1.1,16.62,0.04,-0.04,0.58,-0.58
-1.05,-1.1,-1.0,16.56,0.03,-0.03,0.58,-0.58
-0.95,-1.0,-0.9,16.45,0.03,-0.03,0.57,-0.57
-0.8500000000000001,-0.9,-0.8,16.36,0.03,-0.03,0.57,-0.57
-0.75,-0.8,-0.7,16.29,0.03,-0.03,0.56,-0.56
-0.6499999999999999,-0.7,-0.6,16.1,0.03,-0.03,0.55,-0.55
-0.55,-0.6,-0.5,16.0,0.03,-0.03,0.54,-0.54
-0.45,-0.5,-0.4,15.92,0.03,-0.03,0.54,-0.54
